"AM SE","AM IA","AM TW","AP SE","AP IA","AP TW","AC SE","AC IA","AC TW","M SE","M IA","M TW","M ORAL","BEE SE","BEE IA","BEETW","BEE ORAL","EVS SE","EVS IA","W TW","GPA"
"0032","0017","0020","0040","0014","0023","0039","0012","0020","0056","0015","0024","0019","0053","0017","0024","0020","0030","0011","0043","7.74"
"0035","0016","0019","0034","0013","0021","0033","00008","0021","0052","0014","0023","0019","0040","0016","0023","0019","0038","0012","0043","7.22"
"0043","0015","0019","0041","0013","0023","0044","0012","0021","0064","0016","0023","0019","0048","0019","0023","0021","0043","0013","0042","8.33"
"0037","0015","0020","0032","0012","0021","0037","0011","0020","0046","0011","0021","0021","25","0014","0023","0018","0033","0012","0042","6.78"
"0049","0020","0021","0038","0014","0022","0039","0011","0022","0069","0020","0024","0020","0041","0020","0023","0023","0050","0012","0045","8.44"
"0046","0020","0024","0044","0015","0024","0046","0015","0023","0068","0020","0025","0024","0070","0020","0024","0022","0051","0014","0046","9.44"
"0067","0020","0021","0044","0014","0023","0048","0011","0022","0062","0017","0023","0021","0041","0020","0024","0022","0030","0012","0042","8.85"
"0046","0018","0023","0041","0015","0024","0035","0014","0022","0065","0019","0023","0024","0046","0020","0024","0024","0039","0014","0042","8.41"
"0054","0017","0023","0028","0015","0022","0045","0014","0022","0062","0020","0021","0021","0049","0020","0021","0021","0031","0013","0044","8.41"
"0066","0020","0021","0037","0015","0024","0046","0015","0023","0064","0020","0024","0024","0064","0020","0023","0023","0029","0014","0045","9.37"
"0057","0018","0024","0038","0014","0024","0029","0015","0024","0058","0014","0024","0021","0038","0019","0024","0022","0033","0011","0046","7.81"
"0077","0020","0023","0044","0014","0023","0047","0014","0020","0073","0019","0022","0022","0052","0020","0023","0020","0037","0015","0044","9.37"
"0048","0014","0021","0034","0012","0022","0028","0010","0021","0037","0010","0022","0017","0045","0019","0023","0017","0039","00009","0038","7.07"
"0064","0017","0024","0026","0013","0024","0035","0014","0022","0065","0019","0023","0023","0052","0020","0024","0021","0042","0011","0042","8.78"
"0053","0018","0021","0043","0014","0023","0040","0010","0024","0074","0020","0024","0023","0045","0018","0024","0022","0040","0012","0044","8.59"
"0061","0019","0023","0050","0015","0024","0036","0015","0024","0065","0019","0024","0022","0063","0018","0024","0021","0048","0014","0045","9.67"
